ticker,company_name,sector,listing_date
259960,크래프톤,소프트웨어 개발 및 공급업,2021-08-10
178920,PI첨단소재,플라스틱제품 제조업,2021-08-09
323410,카카오뱅크,은행 및 저축기관,2021-08-06
137310,에스디바이오센서,의료용 기기 제조업,2021-07-16
097520,엠씨넥스,영상 및 음향기기 제조업,2021-07-06
383800,LX홀딩스,기타 금융업,2021-05-27
383220,F&F,봉제의복 제조업,2021-05-21
361610,SK아이이테크놀로지,일차전지 및 이차전지 제조업,2021-05-11
302440,SK바이오사이언스,기초 의약물질 제조업,2021-03-18
378850,화승알앤에이,자동차 신품 부품 제조업,2021-03-15
950210,프레스티지바이오파마,자연과학 및 공학 연구개발업,2021-02-05
248070,솔루엠,전자부품 제조업,2021-02-02
375500,DL이앤씨,토목 건설업,2021-01-25
365550,ESR켄달스퀘어리츠,부동산 임대 및 공급업,2020-12-23
009900,명신산업,자동차 신품 부품 제조업,2020-12-07
244920,에이플러스에셋,보험 및 연금관련 서비스업,2020-11-20
339770,교촌에프앤비,음·식료품 및 담배 도매업,2020-11-12
352820,하이브,오디오물 출판 및 원판 녹음업,2020-10-15
363280,티와이홀딩스,기타 금융업,2020-09-22
357120,코람코라이프인프라리츠,부동산 임대 및 공급업,2020-08-31
348950,제이알글로벌리츠,부동산 임대 및 공급업,2020-08-07
357250,미래에셋맵스리츠,부동산 임대 및 공급업,2020-08-05
350520,이지스레지던스리츠,부동산 임대 및 공급업,2020-08-05
334890,이지스밸류플러스리츠,부동산 임대 및 공급업,2020-07-16
326030,에스케이바이오팜,자연과학 및 공학 연구개발업,2020-07-02
353200,대덕전자,전자부품 제조업,2020-05-21
344820,케이씨씨글라스,유리 및 유리제품 제조업,2020-01-21
338100,NH프라임리츠,부동산 임대 및 공급업,2019-12-05
308170,씨티알모빌리티,자동차 신품 부품 제조업,2019-11-25
322000,HD현대에너지솔루션,반도체 제조업,2019-11-19
272210,한화시스템,전자부품 제조업,2019-11-13
317400,자이에스앤디,부동산 임대 및 공급업,2019-11-06
330590,롯데리츠,부동산 임대 및 공급업,2019-10-30
013890,지누스,가구 제조업,2019-10-30
336260,두산퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-10-18
336370,솔루스첨단소재,전자부품 제조업,2019-10-18
036420,콘텐트리중앙,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-10-18
003670,포스코퓨처엠,일차전지 및 이차전지 제조업,2019-05-29
307950,현대오토에버,소프트웨어 개발 및 공급업,2019-03-28
192650,드림텍,전자부품 제조업,2019-03-14
192080,더블유게임즈,소프트웨어 개발 및 공급업,2019-03-12
316140,우리금융지주,기타 금융업,2019-02-13
298690,에어부산,항공 여객 운송업,2018-12-27
267850,아시아나IDT,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-11-23
306200,세아제강,1차 철강 제조업,2018-10-05
293480,하나제약,의약품 제조업,2018-10-02
010400,우진아이엔에스,건물설비 설치 공사업,2018-09-14
293940,신한알파리츠,부동산 임대 및 공급업,2018-08-08
300720,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업",2018-08-06
091810,트리니티항공,항공 여객 운송업,2018-08-01
286940,롯데이노베이트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-07-27
298050,HS효성첨단소재,화학섬유 제조업,2018-07-13
298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-07-13
298020,효성티앤씨,화학섬유 제조업,2018-07-13
298000,효성화학,기초 화학물질 제조업,2018-07-13
088260,이리츠코크렙,부동산 임대 및 공급업,2018-06-27
294870,IPARK현대산업개발,건물 건설업,2018-06-12
018250,애경산업,기타 화학제품 제조업,2018-03-22
068270,셀트리온,기초 의약물질 제조업,2018-02-09
284740,쿠쿠홈시스,개인 및 가정용품 임대업,2018-01-11
285130,SK케미칼,합성고무 및 플라스틱 물질 제조업,2018-01-05
282330,BGF리테일,종합 소매업,2017-12-08
092780,DYP,자동차용 엔진 및 자동차 제조업,2017-12-08
272450,진에어,항공 여객 운송업,2017-12-08
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2017-12-05
272550,삼양패키징,플라스틱제품 제조업,2017-11-29
055490,테이팩스,플라스틱제품 제조업,2017-10-31
280360,롯데웰푸드,기타 식품 제조업,2017-10-30
271980,제일약품,의약품 제조업,2017-07-17
035720,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2017-07-10
271560,오리온,기타 식품 제조업,2017-07-07
268280,미원에스씨,기초 화학물질 제조업,2017-05-22
267290,경동도시가스,연료용 가스 제조 및 배관공급업,2017-05-12
251270,넷마블,소프트웨어 개발 및 공급업,2017-05-12
267270,HD건설기계,특수 목적용 기계 제조업,2017-05-10
267250,HD현대,기타 금융업,2017-05-10
267260,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2017-05-10
264900,크라운제과,"떡, 빵 및 과자류 제조업",2017-04-11
145720,덴티움,의료용 기기 제조업,2017-03-15
111110,호전실업,봉제의복 제조업,2017-02-02
143210,핸즈코퍼레이션,자동차 신품 부품 제조업,2016-12-02
241560,두산밥캣,특수 목적용 기계 제조업,2016-11-18
207940,삼성바이오로직스,기초 의약물질 제조업,2016-11-10
234080,JW생명과학,의약품 제조업,2016-10-27
241590,화승엔터프라이즈,신발 및 신발 부분품 제조업,2016-10-04
204210,JK리버스톤리츠,부동산 임대 및 공급업,2016-09-22
229640,LS에코에너지,기타 금융업,2016-09-22
249420,일동제약,의약품 제조업,2016-08-31
248170,샘표식품,기타 식품 제조업,2016-08-09
016740,두올,자동차 신품 부품 제조업,2016-07-29
026960,동서,음·식료품 및 담배 도매업,2016-07-15
123890,한국자산신탁,신탁업 및 집합투자업,2016-07-13
034830,한국토지신탁,신탁업 및 집합투자업,2016-07-11
195870,해성디에스,전자부품 제조업,2016-06-24
070960,모나용평,일반 및 생활 숙박시설 운영업,2016-05-27
101530,해태제과식품,기타 식품 제조업,2016-05-11
004440,삼일씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업",2016-03-30
194370,제이에스코퍼레이션,"가죽, 가방 및 유사제품 제조업",2016-02-04
226320,잇츠한불,기타 화학제품 제조업,2015-12-28
075580,세진중공업,선박 및 보트 건조업,2015-11-30
214330,금호에이치티,자동차 신품 부품 제조업,2015-11-11
089590,제주항공,항공 여객 운송업,2015-11-06
227840,현대코퍼레이션홀딩스,음·식료품 및 담배 도매업,2015-10-23
079550,LIG디펜스앤에어로스페이스,무기 및 총포탄 제조업,2015-10-02
039570,HDC랩스,전기 및 통신 공사업,2015-09-24
002690,동일제강,1차 철강 제조업,2015-09-24
095570,AJ네트웍스,산업용 기계 및 장비 임대업,2015-08-21
214320,이노션,광고업,2015-07-17
214420,토니모리,기타 화학제품 제조업,2015-07-10
085620,미래에셋생명,보험업,2015-07-08
214390,경보제약,기초 의약물질 제조업,2015-06-29
210980,SK디앤디,부동산 임대 및 공급업,2015-06-23
145210,다이나믹디자인,특수 목적용 기계 제조업,2015-03-19
213500,한솔제지,"펄프, 종이 및 판지 제조업",2015-01-26
210540,디와이파워,특수 목적용 기계 제조업,2015-01-15
028260,삼성물산,기타 전문 도매업,2014-12-18
112610,씨에스윈드,"구조용 금속제품, 탱크 및 증기발생기 제조업",2014-11-27
018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2014-11-14
204320,HL만도,자동차 신품 부품 제조업,2014-10-06
200880,서연이화,자동차 신품 부품 제조업,2014-08-08
192400,쿠쿠홀딩스,기타 금융업,2014-08-06
133820,화인베스틸,1차 철강 제조업,2014-07-22
027410,BGF,기타 금융업,2014-05-19
192820,코스맥스,기타 화학제품 제조업,2014-04-07
185750,종근당,의약품 제조업,2013-12-06
006880,신송홀딩스,산업용 농·축산물 및 동·식물 도매업,2013-11-21
183190,아세아시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업",2013-11-06
064350,현대로템,그외 기타 운송장비 제조업,2013-10-30
180640,한진칼,기타 금융업,2013-09-16
181710,NHN,소프트웨어 개발 및 공급업,2013-08-29
175330,JB금융지주,기타 금융업,2013-07-18
155660,DSR,1차 비철금속 제조업,2013-05-15
170900,동아에스티,의약품 제조업,2013-04-08
013870,지엠비코리아,자동차 신품 부품 제조업,2012-11-20
037560,LG헬로비전,텔레비전 방송업,2012-11-09
163560,동일고무벨트,고무제품 제조업,2012-10-19
161890,한국콜마,기타 화학제품 제조업,2012-10-19
161390,한국타이어앤테크놀로지,고무제품 제조업,2012-10-04
161000,애경케미칼,기초 화학물질 제조업,2012-09-17
014710,사조씨푸드,수산물 가공 및 저장 처리업,2012-06-29
079980,휴비스,화학섬유 제조업,2012-02-23
145270,케이탑리츠,부동산 임대 및 공급업,2012-01-31
007070,GS리테일,종합 소매업,2011-12-23
129260,인터지스,도로 화물 운송업,2011-12-16
145990,삼양사,기타 식품 제조업,2011-12-05
039130,하나투어,여행사 및 기타 여행보조 서비스업,2011-11-01
078520,에이블씨엔씨,기타 화학제품 제조업,2011-09-07
023000,삼원강재,자동차 신품 부품 제조업,2011-07-22
031430,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업",2011-07-14
140910,에이리츠,부동산 임대 및 공급업,2011-07-14
047810,한국항공우주,"항공기,우주선 및 부품 제조업",2011-06-30
071840,롯데하이마트,가전제품 및 정보통신장비 소매업,2011-06-29
069640,한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업",2011-06-21
139480,이마트,종합 소매업,2011-06-10
139130,iM금융지주,기타 금융업,2011-06-07
053210,케이티스카이라이프,텔레비전 방송업,2011-06-03
138040,메리츠금융지주,기타 금융업,2011-05-13
023350,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업",2011-04-28
138930,BNK금융지주,기타 금융업,2011-03-30
020150,롯데에너지머티리얼즈,전자부품 제조업,2011-03-04
011210,현대위아,자동차 신품 부품 제조업,2011-02-21
136490,선진,동물용 사료 및 조제식품 제조업,2011-02-16
134380,미원화학,기타 화학제품 제조업,2011-02-15
134790,시디즈,가구 제조업,2011-01-25
082740,한화엔진,일반 목적용 기계 제조업,2011-01-04
117580,대성에너지,연료용 가스 제조 및 배관공급업,2010-12-24
126560,현대퓨처넷,전기 통신업,2010-12-23
058860,KTis,기타 정보 서비스업,2010-12-17
130660,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업",2010-12-16
900140,엘브이엠씨,자동차 판매업,2010-11-30
081660,미스토홀딩스,생활용품 도매업,2010-09-28
058850,KTcs,기타 정보 서비스업,2010-09-16
057050,현대홈쇼핑,무점포 소매업,2010-09-13
002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업",2010-08-12
128820,대성산업,연료 소매업,2010-07-30
122900,아이마켓코리아,상품 종합 도매업,2010-07-30
128940,한미약품,의약품 제조업,2010-07-30
105840,우진,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26
033920,무학,알코올음료 제조업,2010-07-20
102460,이연제약,의약품 제조업,2010-06-10
123690,한국화장품,생활용품 도매업,2010-06-01
123700,에스제이엠,자동차 신품 부품 제조업,2010-05-31
060980,HL홀딩스,기타 금융업,2010-05-19
032830,삼성생명,보험업,2010-05-12
031440,신세계푸드,음식점업,2010-04-29
088350,한화생명,보험업,2010-03-17
120030,조선선재,기타 금속 가공제품 제조업,2010-02-19
120110,코오롱인더,화학섬유 제조업,2010-02-01
119650,KC코트렐,일반 목적용 기계 제조업,2010-01-29
071320,지역난방공사,"증기, 냉·온수 및 공기조절 공급업",2010-01-29
012160,영흥,1차 철강 제조업,2010-01-25
118000,메타케어,기계장비 및 관련 물품 도매업,2009-12-30
052690,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-12-14
114090,GKL,유원지 및 기타 오락관련 서비스업,2009-11-19
034730,SK,기타 금융업,2009-11-11
032560,황금에스티,1차 비철금속 제조업,2009-10-29
000080,하이트진로,알코올음료 제조업,2009-10-19
082640,동양생명,보험업,2009-10-08
047400,유니온머티리얼,"내화, 비내화 요업제품 제조업",2009-09-29
093240,형지엘리트,봉제의복 제조업,2009-09-28
039490,키움증권,금융 지원 서비스업,2009-08-03
111770,영원무역,상품 종합 도매업,2009-07-30
053690,한미글로벌,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-06-23
028100,동아지질,기반조성 및 시설물 축조관련 전문공사업,2009-06-12
071970,HD현대마린엔진,일반 목적용 기계 제조업,2009-05-15
108670,LX하우시스,플라스틱제품 제조업,2009-04-20
105630,한세실업,봉제의복 제조업,2009-03-20
109070,주성코퍼레이션,통신 및 방송 장비 제조업,2009-03-17
107590,미원홀딩스,기타 금융업,2009-03-02
035420,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2008-11-28
026940,부국철강,1차 철강 제조업,2008-10-14
105560,KB금융,기타 금융업,2008-10-10
104700,한국철강,1차 철강 제조업,2008-09-29
103590,일진전기,절연선 및 케이블 제조업,2008-08-01
103140,풍산,1차 비철금속 제조업,2008-07-30
011070,LG이노텍,전자부품 제조업,2008-07-24
017180,명문제약,의약품 제조업,2008-07-10
100220,비상교육,"서적, 잡지 및 기타 인쇄물 출판업",2008-06-30
